,mzp,mdh,mdm,gq,gx,exp,obs
196,1953.0,166.0,137.0,0.25,1.5867660668922674,0.831723647663,0.700597425763
197,1958.0,132.0,372.0,0.25,0.8397011047100367,0.456370319571,0.600060437315
198,1963.0,106.0,194.0,0.25,0.9611680149333369,0.110641283512,0.121642316281
199,1968.0,136.0,1017.0,0.25,1.0030628057160447,1708262753.88,
200,196.0,69.0,240.0,0.25,0.4138616488916448,16.3130516045,21.1598385954
201,1973.0,129.0,345.0,0.25,0.21515263215140099,1452400.93968,3777197610240.0
202,1978.0,88.0,525.0,0.25,1.0320023140710384,0.284608874209,0.295016860782
203,1983.0,152.0,579.0,0.25,0.7574374100752126,4.22835099706,4.78634519697
204,1988.0,167.0,1151.0,0.25,2.5551595427525853,,
205,1993.0,149.0,840.0,0.25,0.12224746005124898,4.64210546769e+72,
206,1998.0,118.0,402.0,0.25,0.3192553740289226,15.4025638177,14.0382053283
207,2003.0,83.0,553.0,0.25,3.0631304508598016,0.0113128832662,0.0141071631147
208,2008.0,155.0,550.0,0.25,1.300304585250031,0.754432042496,0.795663176824
209,2013.0,73.0,882.0,0.25,1.8227686823858258,0.195687923532,0.335587276777
210,2018.0,150.0,1022.0,0.25,0.4996786460075871,,
211,201.0,131.0,659.0,0.25,0.6930188542079426,22.786004922,29.1390296024
212,2023.0,154.0,1100.0,0.25,0.7655595092922038,,
213,2028.0,70.0,581.0,0.25,0.3854551235965908,14.5340305359,21.5257750656
214,2032.0,153.0,1081.0,0.25,0.29946425543110217,,
215,2037.0,61.0,291.0,0.25,2.9456472949817534,0.00626395735114,0.0106052433781
216,2042.0,136.0,632.0,0.25,0.1556813079052174,2.28688762047e+38,
217,2047.0,145.0,894.0,0.25,1.2865091810711002,1.62764036597,2.26730516189
218,2052.0,53.0,1135.0,0.25,0.801773762151105,3.33152229159e+31,
219,2057.0,110.0,759.0,0.25,0.8103712858001223,1.9883523608,2.12673424848
220,2062.0,102.0,165.0,0.25,0.725801622520071,0.311959536368,0.369601602166
221,2067.0,82.0,880.0,0.25,0.13993115865755143,1.13990993816e+55,
222,206.0,89.0,256.0,0.25,0.7155527622183797,2.55121083545,2.72113313893
223,2072.0,159.0,415.0,0.25,0.5699297240499382,,
224,2077.0,133.0,1149.0,0.25,2.2322531102000394,9.80422819664,14.2167715405
225,2087.0,84.0,919.0,0.25,0.16656117057865982,,
226,2092.0,161.0,852.0,0.25,0.7932674527568263,,
227,2097.0,116.0,906.0,0.25,0.22855768066759521,3.55842271752e+35,
228,2102.0,120.0,277.0,0.25,0.2634866052553946,25.2772555706,23.8622962883
229,2107.0,105.0,1080.0,0.25,0.19201558781550065,,
230,2112.0,137.0,786.0,0.25,0.9080175059919625,2.11487900087,3.08834746252
231,2117.0,72.0,896.0,0.25,0.19269948508943968,1.5021690432e+41,
232,211.0,69.0,1043.0,0.25,3.395810649493167,0.0519209023664,0.0767181615673
233,2122.0,130.0,930.0,0.25,0.15735069868552173,2.7019486734e+56,
234,2127.0,104.0,326.0,0.25,2.9878377933186315,0.00736889854212,0.00905553998608
235,2131.0,67.0,1148.0,0.25,0.5122704049238896,,
236,2136.0,124.0,356.0,0.25,0.12181359950078505,,
237,2146.0,94.0,934.0,0.25,2.37977918465832,0.122600017506,0.13324128605
238,2151.0,72.0,1119.0,0.25,0.44121311013536746,7.12250577678e+45,
239,2156.0,167.0,108.0,0.25,0.4555594090512204,,
240,2161.0,165.0,653.0,0.25,2.2885052499070047,,
241,2166.0,155.0,671.0,0.25,3.4444488363541237,0.0768851851716,0.0854971127902
242,216.0,111.0,1032.0,0.25,0.21979159053341255,,
243,2171.0,82.0,594.0,0.25,1.4937012613324105,0.11050457794,0.143913089574
244,2176.0,150.0,943.0,0.25,0.12399841009498518,1.73711205482e+80,
245,2181.0,150.0,631.0,0.25,0.9749348218435157,1.64251263863,2.15281044068
246,2186.0,150.0,830.0,0.25,0.10454441831672195,1.28484032869e+80,
247,2191.0,147.0,890.0,0.25,0.3415666885594243,4.2473286692e+22,
248,2206.0,58.0,971.0,0.25,0.12355833536101596,6.77789295727e+71,
249,2211.0,92.0,181.0,0.25,0.12268286587233966,8.14255351392e+31,
250,2216.0,104.0,627.0,0.25,0.3773196427433055,22.2831536888,25.8964137347
251,2226.0,106.0,824.0,0.25,0.11797749321973189,,
252,2230.0,99.0,884.0,0.25,0.2730229925296531,3.53132055331e+24,
253,2235.0,162.0,257.0,0.25,1.0138187777878365,4.21210524672,3.96307479079
254,2240.0,78.0,645.0,0.25,2.4746934567719086,0.0344134142947,0.0571203716833
255,2245.0,160.0,171.0,0.25,0.22533027573026884,,
256,2250.0,141.0,456.0,0.25,2.4397489392329392,0.0327099577396,0.0503336724471
257,2255.0,127.0,511.0,0.25,0.139434538036585,,
258,2265.0,96.0,284.0,0.25,0.2789097078675629,25.3846485795,27.7054121016
259,226.0,169.0,278.0,0.25,3.3005849999737245,0.90695888185,0.724518505708
260,2270.0,142.0,885.0,0.25,0.3343575244186889,9.64780688193e+19,
261,2275.0,106.0,521.0,0.25,0.2213600314889724,148509998269000.0,
262,2280.0,124.0,913.0,0.25,0.5196076525651103,27.0723567762,26.3201832909
263,2285.0,163.0,651.0,0.25,1.09630104446822,,
264,2290.0,113.0,359.0,0.25,0.8888527353553247,0.36344238171,0.416978996795
265,2295.0,78.0,218.0,0.25,1.848876193354205,0.0249752358539,0.0406249153997
266,2300.0,59.0,1195.0,0.25,0.12444005223248818,,
267,2305.0,160.0,911.0,0.25,0.5719596289605183,3.02024765835e+19,1.39843778489e+36
268,2310.0,167.0,828.0,0.25,2.7240259921863266,1.85080302992,1.48801992727
269,2315.0,89.0,404.0,0.25,0.16538100557875296,2.14249564346e+21,
270,2320.0,54.0,426.0,0.25,0.1163115630134112,,
271,2325.0,74.0,1025.0,0.25,2.192921555542481,0.189497767164,0.326421603526
272,2334.0,94.0,149.0,0.25,0.15077865298372048,6.90673433786e+22,
273,2339.0,126.0,803.0,0.25,1.8954673444446486,0.137616662664,0.143174969247
274,2344.0,98.0,484.0,0.25,0.1630457024185799,,
275,2349.0,91.0,905.0,0.25,0.1677497572798505,7.78165386985e+47,
276,2354.0,77.0,1168.0,0.25,0.11027114173139692,,
277,2359.0,123.0,150.0,0.25,0.2663120061687454,,
278,2364.0,79.0,604.0,0.25,0.2849233481107654,170730428.62,
279,2369.0,134.0,214.0,0.25,0.3215335922387018,18.4161446338,28.5052911533
280,236.0,132.0,1111.0,0.25,0.1807537555156017,5.76330817036e+71,
281,2374.0,56.0,295.0,0.25,0.1312566166394392,3.09786434597e+33,
282,2379.0,98.0,400.0,0.25,1.5150955405081277,0.0817865884066,0.0974980252012
283,2384.0,150.0,1118.0,0.25,0.41681498099357767,,
284,2389.0,164.0,1011.0,0.25,1.5204918196420203,22.8720845156,20.0835547127
285,2394.0,92.0,697.0,0.25,0.1695485596021677,5.78859057512e+37,
